순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name
10,C007,2011-02-16,W003,68.95705355,79.45705355,113.7835536,22.884,200.338,,쿠킹실,식사,12:58,13:35,37.0,W003212,1,58,식사,3,3:기타
18,C007,2011-02-16,W003,69.34234038,80.44234038,115.0007404,23.039,203.72,,쿠킹실,충전,15:05,15:19,14.0,W003452,1,96,충전,2,2:공정 중 발생
4,C003,2011-02-18,W003,70.15127392,82.55127392,117.3394739,23.192,202.788,,쿠킹실,시생산 지연,9:01,9:16,15.0,W003471,1,57,시생산 지연,1,1:공정 전 발생
19,P004,2011-02-22,W007,70.8817866,93.1817866,127.6342366,22.968,202.038,,포장실,식사,0:31,1:37,66.0,W007212,1,58,식사,3,3:기타
26,C007,2011-02-23,W003,70.44581667,102.3458167,137.0400167,23.129,199.723,,쿠킹실,충전,19:10,19:24,14.0,W003452,1,96,충전,2,2:공정 중 발생
31,C004,2011-02-24,W003,72.09009522,104.4900952,139.2387452,23.166,207.131,,쿠킹실,충진 미종료,2:30,5:11,161.0,W003721,1,97,충진 미종료,2,2:공정 중 발생
32,P004,2011-02-24,W007,71.19072236,111.6907224,146.3752724,23.123,204.263,,포장실,식사,5:30,6:29,59.0,W007212,1,58,식사,3,3:기타
3,D004,2011-03-01,W005,69.25740509,99.45740509,134.2500051,23.195,202.131,,충전실,제품 넘어짐 청소,8:57,10:30,93.0,W005432,1,90,제품 넘어짐 청소,2,2:공정 중 발생
6,P004,2011-03-01,W007,69.86915136,104.1691514,138.6622514,22.995,205.595,,포장실,휴식,10:14,10:23,9.0,W007211,1,108,휴식,3,3:기타
14,C007,2011-03-01,W003,71.31404945,132.2140495,166.2857995,22.715,201.186,,쿠킹실,식사,13:05,13:35,30.0,W003212,1,58,식사,3,3:기타
20,C007,2011-03-01,W003,71.85413955,125.5541395,160.0167395,22.975,201.632,,쿠킹실,냉각,14:35,15:10,35.0,W003451,1,24,냉각,2,2:공정 중 발생
21,C003,2011-03-01,W003,70.28996156,104.7899616,139.3208116,23.021,200.757,,쿠킹실,충전,15:27,15:53,26.0,W003452,1,96,충전,2,2:공정 중 발생
9,D013,2011-03-02,W005,70.47989942,87.57989942,122.0401994,22.974,200.324,,충전실,원료,12:04,13:08,64.0,W005721,1,76,원료,2,2:공정 중 발생
13,D006,2011-03-02,W005,72.41911929,105.7191193,140.4166193,23.132,199.97,,충전실,대기,15:25,15:54,29.0,W005711,1,29,대기,1,1:공정 전 발생
19,D006,2011-03-02,W005,71.10836663,112.0083666,146.7770666,23.179,201.656,,충전실,대기,18:22,18:38,16.0,W005711,1,29,대기,1,1:공정 전 발생
29,P004,2011-03-02,W007,70.70883747,109.3088375,144.0942375,23.19,205.246,,포장실,휴식,3:13,3:43,30.0,W007211,1,108,휴식,3,3:기타
12,D004,2011-03-03,W005,72.67156337,93.97156337,128.6350634,23.109,205.824,,충전실,노즐,18:13,18:17,4.0,W0056E1,1,28,노즐,2,2:공정 중 발생
5,C008,2011-03-04,W003,71.80528992,108.7052899,142.9040899,22.799,205.523,,쿠킹실,충전,11:45,13:15,90.0,W003452,1,96,충전,2,2:공정 중 발생
13,C008,2011-03-04,W003,71.0862301,104.1862301,138.7330801,23.031,205.392,,쿠킹실,충전,18:30,19:05,35.0,W003452,1,96,충전,2,2:공정 중 발생
13,D001,2011-03-05,W005,70.00523943,101.8052394,136.4431894,23.092,202.978,,충전실,대기,18:42,19:26,44.0,W005711,1,29,대기,1,1:공정 전 발생
6,C002,2011-03-07,W003,71.60365902,93.90365902,128.525459,23.081,201.705,,쿠킹실,기타,10:40,13:32,172.0,W003633,1,23,기타,3,3:기타
8,D005,2011-03-08,W005,71.77565732,89.47565732,123.8130073,22.892,199.609,,충전실,시밍,15:25,15:30,5.0,W0056E2,1,55,시밍,2,2:공정 중 발생
2,D004,2011-03-09,W005,70.56296711,88.16296711,122.9457671,23.189,206.378,,충전실,노즐,6:34,6:48,14.0,W0056E1,1,28,노즐,2,2:공정 중 발생
6,C006,2011-03-09,W003,71.018443,94.918443,129.482543,23.043,208.084,,쿠킹실,야채실,8:50,9:06,16.0,W003313,1,64,야채실,3,3:기타
5,P004,2011-03-10,W007,73.15587359,74.45587359,109.1435236,23.125,211.358,,포장실,식사,17:30,18:03,33.0,W007212,1,58,식사,3,3:기타
7,P002,2011-03-14,W007,71.03656577,97.53656577,132.0765658,23.027,203.409,,포장실,컨베이어,10:40,11:40,60.0,W007612,1,99,컨베이어,2,2:공정 중 발생
7,C001,2011-03-15,W003,72.17013819,112.5701382,146.9449882,22.917,195.475,,쿠킹실,규격보정,14:10,14:28,18.0,W003441,1,20,규격보정,2,2:공정 중 발생
8,C007,2011-03-16,W003,71.19187812,119.6918781,154.0841781,22.928,203.679,,쿠킹실,냉각,16:31,17:12,41.0,W003451,1,24,냉각,2,2:공정 중 발생
3,P004,2011-03-17,W007,71.90472902,102.804729,137.577629,23.182,207.529,,포장실,구동부,9:36,9:43,7.0,W0076A2,1,18,구동부,2,2:공정 중 발생
13,D007,2011-03-17,W005,72.32933476,108.6293348,143.0084348,22.919,204.434,,충전실,감도,20:50,21:18,28.0,W005463,1,7,감도,2,2:공정 중 발생
14,C005,2011-03-17,W003,71.40780993,114.1078099,148.5920099,22.989,205.098,,쿠킹실,충전,20:30,20:45,15.0,W003452,1,96,충전,2,2:공정 중 발생
2,P004,2011-03-21,W007,70.73237963,102.6323796,137.1103796,22.985,195.806,,포장실,구동부,9:48,11:15,87.0,W0076A2,1,18,구동부,2,2:공정 중 발생
12,C001,2011-03-21,W003,69.75612266,94.15612266,128.6047727,22.966,205.046,,쿠킹실,충전,16:55,17:04,9.0,W003452,1,96,충전,2,2:공정 중 발생
13,P004,2011-03-21,W007,71.69368456,96.99368456,131.4485846,22.97,203.241,,포장실,식사,17:33,18:07,34.0,W007212,1,58,식사,3,3:기타
12,D005,2011-03-23,W005,72.77896146,123.8789615,158.4257115,23.031,200.183,,충전실,실바,14:16,16:20,124.0,W005634,1,60,실바,2,2:공정 중 발생
23,D004,2011-03-23,W005,72.46195111,118.8619511,153.5745011,23.142,206.481,,충전실,실바,1:40,4:38,178.0,W005624,1,60,실바,2,2:공정 중 발생
1,C002,2011-03-24,W003,69.49808307,79.29808307,113.7209831,22.949,199.743,,쿠킹실,전처리,9:25,10:50,85.0,W003312,1,86,전처리,1,1:공정 전 발생
3,C003,2011-03-24,W003,69.28415105,87.58415105,122.1326011,23.032,203.806,,쿠킹실,충전,11:25,11:29,4.0,W003452,1,96,충전,2,2:공정 중 발생
10,C007,2011-04-14,W003,69.58334389,80.08334389,114.4098439,22.884,202.166,,쿠킹실,충전,9:45,10:04,19.0,W003452,1,96,충전,2,2:공정 중 발생
12,C007,2011-04-14,W003,69.91574798,81.01574798,115.574148,23.039,199.008,,쿠킹실,냉각,15:56,17:00,64.0,W003451,1,24,냉각,2,2:공정 중 발생
