오류조치시간_보정
8
9
7
144
164
48
10
7
47
10
76
100
14
37
110
36
12
24
50
3
22
20
101
10
75
13
14
3
58
51
90
25
55
13
37
14
15
66
161
14
59
26
30
35
93
9
30
29
16
64
4
90
35
44
5
16
14
33
60
18
41
15
28
7
9
87
34
124
85
4
19
64
9
23
8
4
30
44
4
31
9
4
32
12
39
8
8
33
20
26
84
10
63
15
56
45
18
82
69
4
128
7
13
65
6
25
9
32
9
5
53
42
9
6
23
6
65
45
9
33
30
20
5
8
14
31
30
22
3
41
38
40
34
20
18
33
109
21
4
28
120
21
56
5
5
38
6
10
136
13
45
10
37
8
62
26
152
151
10
40
78
1
12
9
10
49
7
43
17
39
1
21
51
54
68
30
12
1
30
10
10
5
20
9
11
6
0
5
10
95
28
21
30
11
22
119
9
25
11
31
61
15
18
3
17
130
65
34
53
60
7
0
46
44
24
60
40
52
30
5
20
20
20
33
22
5
110
18
7
26
27
57
48
22
14
59
16
27
60
28
5
6
1
15
5
9
30
34
23
13
23
7
2
50
30
43
36
6
12
16
18
9
13
6
52
44
6
35
7
33
143
47
30
7
9
39
9
16
15
40
29
12
5
8
3
16
3
34
94
3
141
79
62
4
160
21
11
15
2
46
143
157
47
35
61
77
20
20
60
23
75
50
42
52
135
14
30
22
42
22
58
57
55
65
65
59
8
57
16
130
140
86
51
36
63
39
50
117
110
11
24
97
43
27
37
37
32
114
71
3
145
66
36
9
71
131
8
5
10
30
78
67
55
144
0
60
52
86
5
60
90
59
10
25
8
44
127
140
40
40
19
40
133
46
52
156
24
102
16
20
48
29
34
122
118
78
17
70
31
63
51
90
40
90
102
25
14
30
60
35
24
50
157
49
35
55
103
58
39
60
83
30
87
0
59
26
60
39
32
108
80
40
90
160
42
18
55
166
24
80
78
130
60
65
61
73
68
70
80
60
50
20
10
24
63
38
60
63
96
90
81
60
30
11
70
60
44
60
60
160
101
45
74
60
115
75
84
45
80
55
82
85
45
60
30
60
60
52
60
82
103
60
49
55
40
60
55
51
90
62
54
63
72
124
62
75
126
42
30
60
58
60
53
60
20
85
37
63
26
123
120
50
60
60
38
13
75
61
20
60
20
39
9
50
90
58
43
125
25
108
56
12
157
60
51
60
43
25
88
47
47
155
12
60
61
124
39
60
60
48
60
10
56
60
20
13
60
60
30
2
35
30
13
75
10
60
70
65
56
11
111
54
15
60
58
60
30
70
55
50
24
29
100
73
82
52
0
60
35
60
50
108
78
56
11
11
60
20
30
62
85
40
60
60
17
51
100
60
33
60
57
13
143
60
60
122
92
55
80
25
20
131
51
60
37
38
64
60
60
25
70
60
28
11
20
60
44
52
25
32
100
84
8
59
60
40
35
51
43
59
42
70
10
105
15
68
124
40
60
28
78
35
10
14
60
98
52
80
70
71
104
38
100
104
118
66
48
60
18
36
33
71
100
63
94
36
122
9
20
16
4
0
107
41
55
43
90
100
86
27
74
60
49
105
14
99
65
115
24
20
157
60
102
109
48
103
21
98
103
28
124
37
39
35
50
85
73
44
75
105
60
97
103
13
129
48
35
57
115
20
60
33
60
37
99
27
61
32
61
17
50
97
60
100
42
67
50
60
38
37
164
77
95
14
30
95
120
106
99
50
78
145
129
108
23
88
58
10
90
104
28
36
93
49
117
93
95
59
28
14
44
0
64
93
100
40
89
58
98
6
18
101
41
106
2
4
52
10
49
43
79
39
47
40
34
21
44
1
30
78
17
18
48
27
88
13
16
10
120
107
1
151
63
22
19
13
28
11
28
39
15
66
35
17
15
105
64
46
108
90
129
110
1
39
60
93
34
59
102
76
87
4
93
30
4
19
34
84
43
21
9
5
49
16
15
19
91
15
15
28
55
17
5
20
35
15
29
48
13
28
15
12
38
118
72
61
52
40
60
98
90
23
52
69
45
99
59
59
158
41
38
30
43
79
58
9
117
12
26
37
65
90
70
59
113
20
51
108
125
45
11
82
142
45
55
94
22
27
95
0
79
163
156
32
150
3
84
20
106
90
0
60
126
25
87
32
96
26
14
17
50
144
65
60
31
111
105
103
157
19
45
7
126
113
25
47
37
57
3
17
99
37
16
60
119
18
64
39
60
124
112
148
17
43
94
150
40
53
51
151
111
38
139
13
139
1
123
6
36
16
20
