year,g1,g2,per
2011,187,3959,4.723415003788835
2012,66,1521,4.339250493096647
2013,48,969,4.953560371517028
2014,7,470,1.4893617021276597
2015,30,357,8.403361344537815
2016,23,687,3.3478893740902476
2017,240,5386,4.455997029335314
2018,188,4201,4.475124970245179
2019,127,3053,4.159842777595808
2020,101,2294,4.402789886660854
2021,57,1172,4.863481228668942
